,Año,Day,Tiempo,PRN,S4,Az,Elv
563,21,095,3354,12,0.1,310.3,38.2
564,21,095,3354,13,0.13,166.2,43.8
565,21,095,3354,14,0.25,148.5,12.7
566,21,095,3354,15,0.13,204.6,26.1
567,21,095,3354,17,0.14,99.9,28.7
568,21,095,3354,19,0.08,75.9,36.7
569,21,095,3354,24,0.2,233.2,17.9
570,21,095,3354,28,0.29,150.4,19.1
571,21,095,3414,2,0.16,1.5,16.7
572,21,095,3414,5,0.05,306.6,61.0
573,21,095,3414,12,0.07,309.8,38.6
574,21,095,3414,13,0.14,165.8,44.1
575,21,095,3414,14,0.2,148.4,12.3
576,21,095,3414,15,0.14,204.5,26.5
577,21,095,3414,17,0.11,100.5,28.6
578,21,095,3414,19,0.09,76.5,36.8
579,21,095,3414,24,0.15,232.8,18.0
580,21,095,3414,28,0.27,150.4,18.7
581,21,095,3474,2,0.15,1.9,16.6
582,21,095,3474,5,0.07,307.6,60.7
583,21,095,3474,12,0.1,309.4,38.9
584,21,095,3474,13,0.13,165.3,44.4
585,21,095,3474,14,0.28,148.4,11.9
586,21,095,3474,15,0.14,204.4,26.9
587,21,095,3474,17,0.15,101.0,28.5
588,21,095,3474,19,0.11,77.1,36.9
589,21,095,3474,24,0.17,232.4,18.0
590,21,095,3474,28,0.17,150.4,18.3
591,21,095,3534,2,0.18,2.2,16.6
592,21,095,3534,5,0.05,308.5,60.4
593,21,095,3534,12,0.08,308.9,39.2
594,21,095,3534,13,0.11,164.8,44.7
595,21,095,3534,14,0.28,148.3,11.5
596,21,095,3534,15,0.16,204.2,27.2
597,21,095,3534,17,0.1,101.6,28.4
598,21,095,3534,19,0.09,77.7,37.0
599,21,095,3534,24,0.15,232.0,18.1
600,21,095,3534,28,0.19,150.3,17.8
601,21,095,3594,2,0.19,2.6,16.6
602,21,095,3594,5,0.06,309.4,60.2
603,21,095,3594,12,0.1,308.5,39.6
604,21,095,3594,13,0.13,164.3,45.0
605,21,095,3594,14,0.21,148.3,11.2
